test_acc/dataloader_idx_6,test_acc/dataloader_idx_5,test_acc/dataloader_idx_4,test_acc/dataloader_idx_3,test_acc/dataloader_idx_2,test_acc/dataloader_idx_1,test_acc/dataloader_idx_0,epoch,step,train_acc,train_loss,val_loss,val_acc
0.5198197960853577,0.6889208555221558,0.496664434671402,0.5177448391914368,0.5003252029418945,0.5000362396240234,0.5150375962257385,0,0,,,,
,,,,,,,0,49,0.9375,0.16456881165504456,,
,,,,,,,0,99,0.921875,0.155398428440094,,
,,,,,,,0,116,,,0.19622816145420074,0.9156367778778076
,,,,,,,1,149,0.9453125,0.14109855890274048,,
,,,,,,,1,199,0.9296875,0.13935843110084534,,
,,,,,,,1,233,,,0.19429261982440948,0.921547532081604
,,,,,,,2,249,0.9140625,0.2049063891172409,,
,,,,,,,2,299,0.8984375,0.18574032187461853,,
,,,,,,,2,349,0.9453125,0.21064528822898865,,
,,,,,,,2,350,,,0.20210570096969604,0.9236969351768494
,,,,,,,3,399,0.890625,0.2433699071407318,,
,,,,,,,3,449,0.921875,0.21021798253059387,,
,,,,,,,3,467,,,0.19776266813278198,0.9140247106552124
,,,,,,,4,499,0.96875,0.1132785826921463,,
,,,,,,,4,549,0.9453125,0.13941994309425354,,
,,,,,,,4,584,,,0.20126555860042572,0.9048898220062256
,,,,,,,5,599,0.9296875,0.21870046854019165,,
,,,,,,,5,649,0.953125,0.10725966095924377,,
,,,,,,,5,699,0.9453125,0.11894513666629791,,
,,,,,,,5,701,,,0.23309610784053802,0.9113379716873169
,,,,,,,6,749,0.90625,0.16050288081169128,,
,,,,,,,6,799,0.921875,0.12810170650482178,,
,,,,,,,6,818,,,0.20497781038284302,0.9172487854957581
,,,,,,,7,849,0.9453125,0.10068066418170929,,
,,,,,,,7,899,0.9140625,0.20004186034202576,,
,,,,,,,7,935,,,0.23940430581569672,0.9129500389099121
,,,,,,,8,949,0.953125,0.09542727470397949,,
,,,,,,,8,999,0.9765625,0.03983130306005478,,
,,,,,,,8,1049,0.921875,0.10782471299171448,,
,,,,,,,8,1052,,,0.2945191264152527,0.9108006358146667
,,,,,,,9,1099,0.9765625,0.045692749321460724,,
,,,,,,,9,1149,0.9765625,0.06543104350566864,,
,,,,,,,9,1169,,,0.40791910886764526,0.9081138968467712
,,,,,,,10,1199,1.0,0.02069964073598385,,
,,,,,,,10,1249,1.0,0.03001909703016281,,
,,,,,,,10,1286,,,0.566368579864502,0.9054272174835205
,,,,,,,11,1299,0.9921875,0.027443844825029373,,
,,,,,,,11,1349,0.9765625,0.03740131855010986,,
,,,,,,,11,1399,0.9921875,0.020052863284945488,,
,,,,,,,11,1403,,,0.9736600518226624,0.902740478515625
0.8380835652351379,0.9221103191375732,0.9034022688865662,0.8718467950820923,0.8204813003540039,0.7540793418884277,0.9291085004806519,1,1404,,,,
